"recaptcha.missing-input-secret";"Le secret reCAPTCHA est absent."
"recaptcha.invalid-input-secret";"Le secret reCAPTCHA est invalide ou malformé."
"recaptcha.missing-input-response";"La réponse CAPTCHA est absente."
"recaptcha.invalid-input-response";"La réponse CAPTCHA est invalide ou malformé."
"recaptcha.is-human";"Êtes-vous un humain?"
"recaptcha.is-robot";"Êtes-vous un robot?"
"recaptcha.error-code";"Erreur reCAPTCHA inconnue: {code}"
"recaptcha.error-unknown";"Une erreur inconnue ou une réponse malformée est survenus avec le reCAPTCHA."
"recaptcha.valid";"La réponse CAPTCHA est valide."
